
Conexäes ativas

  Proto  Endere‡o local         Endere‡o externo       Estado
  TCP    10.0.135.14:50801      52.84.77.33:https      ESTABLISHED
  TCP    10.0.135.14:50833      131.253.61.100:https   LAST_ACK
  TCP    10.0.135.14:50838      162.125.5.3:https      CLOSE_WAIT
  TCP    10.0.135.14:50862      157.56.77.148:https    FIN_WAIT_1
  TCP    10.0.135.14:50871      162.125.5.3:https      FIN_WAIT_1
  TCP    10.0.135.14:50876      131.253.34.240:https   ESTABLISHED
  TCP    10.0.135.14:50905      204.79.197.200:https   ESTABLISHED
  TCP    10.0.135.14:50906      204.79.197.200:https   ESTABLISHED
  TCP    10.0.135.14:50931      162.125.5.3:https      FIN_WAIT_1
  TCP    10.0.135.14:50937      162.125.5.3:https      TIME_WAIT
  TCP    10.0.135.14:50940      64.4.54.254:https      ESTABLISHED
  TCP    10.0.135.14:50943      162.125.5.3:https      ESTABLISHED
  TCP    10.0.135.14:50944      104.79.207.39:https    ESTABLISHED
  TCP    10.0.135.14:50945      131.253.61.64:https    ESTABLISHED
  TCP    10.0.135.14:50948      bn2wns1:https          ESTABLISHED
  TCP    10.0.135.14:50949      131.253.61.96:https    ESTABLISHED
  TCP    10.0.135.14:50952      131.253.61.96:https    SYN_SENT
  TCP    10.0.135.14:50953      131.253.61.84:https    SYN_SENT
  TCP    10.0.135.14:50954      131.253.61.84:https    SYN_SENT
  TCP    10.0.135.14:50955      131.253.61.96:https    SYN_SENT
  TCP    127.0.0.1:50878        DESKTOP-3DS0N:50879    ESTABLISHED
  TCP    127.0.0.1:50879        DESKTOP-3DS0N:50878    ESTABLISHED
  TCP    127.0.0.1:50883        DESKTOP-3DS0N:50884    ESTABLISHED
  TCP    127.0.0.1:50884        DESKTOP-3DS0N:50883    ESTABLISHED
